Id;AvgPathLength;HasLoop;AvgCountLoop;CountReqEcCovered;EdgeCoverage;CountReqPcCovered;PrimePathCoverage
org.apache.commons.lang3.ObjectUtilsTest.testAllNotNull();8.166666666666666;1;1.5;10;1;6;0.9999999999999999
org.apache.commons.lang3.AnnotationUtilsTest.testIsValidAnnotationMemberType();5.5;0;0;6;0.75;2;0.6666666666666666
org.apache.commons.lang3.ArrayUtilsAddTest.testAddObjectArrayByte();5;0;0;4;1;1;1
org.apache.commons.lang3.ArrayUtilsAddTest.testAddObjectArrayToObjectArray();5.666666666666667;0;0;11;1;3;1
org.apache.commons.lang3.AnnotationUtilsTest.testHashCode();67.33333333333333;1;15.333333333333334;9;0.5294117647058824;6;0.6
org.apache.commons.lang3.ArrayUtilsTest.testGetLength();4;0;0;5;1;2;1
org.apache.commons.lang3.ArrayUtilsInsertTest.testInsertBytes();8.166666666666666;0;0;19;0.9999999999999999;6;0.857142857142857
org.apache.commons.lang3.ArrayUtilsTest.testSameLength();3;0;0;2;1;1;1
org.apache.commons.lang3.ArrayUtilsTest.testSameType();4;0;0;5;1;2;1
org.apache.commons.lang3.ArrayUtilsTest.testIsSortedInt();10.666666666666666;1;1;14;1;8;0.7999999999999999
org.apache.commons.lang3.ArrayUtilsTest.testCloneDouble();4;0;0;4;0.8;1;0.5
org.apache.commons.lang3.ArrayUtilsTest.testShuffleDouble();4;0;0;1;0.2;1;0.5
org.apache.commons.lang3.ArrayUtilsRemoveTest.testRemoveAllLongOccurences();9.5;1;0.75;12;1;6;0.9999999999999999
org.apache.commons.lang3.ArrayUtilsRemoveTest.testRemoveElementBooleanArray();5;0;0;6;1;2;1
org.apache.commons.lang3.ArrayUtilsTest.testReverseLong();4;0;0;5;1;2;1
org.apache.commons.lang3.ArrayUtilsTest.testReverseBooleanRange();8;0;0;12;0.8571428571428572;2;0.2
org.apache.commons.lang3.ArrayUtilsTest.testShiftNullObject();4;0;0;3;0.6;1;0.5
org.apache.commons.lang3.ArrayUtilsTest.testShuffleShort();6;1;1;5;1;3;0.6
org.apache.commons.lang3.ArrayUtilsTest.testSubarrayLong();9.285714285714286;0;0;17;1;7;0.7777777777777779
org.apache.commons.lang3.ArrayUtilsTest.testSwapBoolean();4;0;0;3;0.6;1;0.5
org.apache.commons.lang3.ArrayUtilsTest.testSwapNullBooleanArray();4;0;0;2;0.4;1;0.5
org.apache.commons.lang3.ArrayUtilsTest.testSwapEmptyBooleanArray();4;0;0;0;0;0;0
org.apache.commons.lang3.ArrayUtilsTest.testSwapBooleanRange();12.833333333333334;1;0.8333333333333334;17;1;7;0.5
org.apache.commons.lang3.ArrayUtilsTest.testToPrimitive_long();7.333333333333333;1;1;12;0.9999999999999999;6;0.857142857142857
org.apache.commons.lang3.ArrayUtilsTest.testCreatePrimitiveArray();11;1;2;0;0;0;0
