Id;TestPath;PathLength;HasLoop;CountLoop;CountnewReqEcCovered;CountReqEcCovered;EdgeCoverage;CountnewReqPpcCovered;CountReqPcCovered;PrimePathCoverage
org.apache.commons.lang3.ObjectUtilsTest.testAllNotNull();8,2,4,5,4,5,4,5,4,5,4,5,4,5,4,7,9;17;1;6;6;6;0.6;3;3;0.5
org.apache.commons.lang3.ObjectUtilsTest.testAllNotNull();8,2,4,5,4,5,4,5,6,9;10;1;2;2;6;0.6;0;2;0.3333333333333333
org.apache.commons.lang3.ObjectUtilsTest.testAllNotNull();8,2,4,5,4,7,9;7;1;1;0;6;0.6;0;2;0.3333333333333333
org.apache.commons.lang3.ObjectUtilsTest.testAllNotNull();8,2,4,5,6,9;6;0;0;0;5;0.5;1;1;0.16666666666666666
org.apache.commons.lang3.ObjectUtilsTest.testAllNotNull();8,2,4,7,9;5;0;0;0;4;0.4;1;1;0.16666666666666666
org.apache.commons.lang3.ObjectUtilsTest.testAllNotNull();8,2,3,9;4;0;0;2;3;0.3;1;1;0.16666666666666666
org.apache.commons.lang3.AnnotationUtilsTest.testIsValidAnnotationMemberType();8,2,4,5,6,9;6;0;0;5;5;0.625;1;1;0.3333333333333333
org.apache.commons.lang3.AnnotationUtilsTest.testIsValidAnnotationMemberType();8,2,4,6,9;5;0;0;1;4;0.5;1;1;0.3333333333333333
org.apache.commons.lang3.ArrayUtilsAddTest.testAddObjectArrayByte();5,2,3,4,6;5;0;0;4;4;1;1;1;1
org.apache.commons.lang3.ArrayUtilsAddTest.testAddObjectArrayToObjectArray();10,2,4,6,7,8,9,11;8;0;0;7;7;0.6363636363636364;1;1;0.3333333333333333
org.apache.commons.lang3.ArrayUtilsAddTest.testAddObjectArrayToObjectArray();10,2,4,5,11;5;0;0;2;4;0.36363636363636365;1;1;0.3333333333333333
org.apache.commons.lang3.ArrayUtilsAddTest.testAddObjectArrayToObjectArray();10,2,3,11;4;0;0;2;3;0.2727272727272727;1;1;0.3333333333333333
org.apache.commons.lang3.AnnotationUtilsTest.testHashCode();15,2,3,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,14,16;102;1;24;9;9;0.5294117647058824;5;5;0.5
org.apache.commons.lang3.AnnotationUtilsTest.testHashCode();15,2,3,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,14,16;94;1;22;0;9;0.5294117647058824;0;5;0.5
org.apache.commons.lang3.AnnotationUtilsTest.testHashCode();15,2,3,4,14,16;6;0;0;0;5;0.29411764705882354;1;1;0.1
org.apache.commons.lang3.ArrayUtilsTest.testGetLength();5,2,3,6;4;0;0;3;3;0.6;1;1;0.5
org.apache.commons.lang3.ArrayUtilsTest.testGetLength();5,2,4,6;4;0;0;2;3;0.6;1;1;0.5
org.apache.commons.lang3.ArrayUtilsInsertTest.testInsertBytes();15,2,4,6,8,9,10,11,12,13,14,16;12;0;0;11;11;0.5789473684210527;1;1;0.14285714285714285
org.apache.commons.lang3.ArrayUtilsInsertTest.testInsertBytes();15,2,4,6,8,9,10,12,13,14,16;11;0;0;1;10;0.5263157894736842;1;1;0.14285714285714285
org.apache.commons.lang3.ArrayUtilsInsertTest.testInsertBytes();15,2,4,6,8,9,10,11,12,14,16;11;0;0;1;10;0.5263157894736842;1;1;0.14285714285714285
org.apache.commons.lang3.ArrayUtilsInsertTest.testInsertBytes();15,2,4,6,7,16;6;0;0;2;5;0.2631578947368421;1;1;0.14285714285714285
org.apache.commons.lang3.ArrayUtilsInsertTest.testInsertBytes();15,2,4,5,16;5;0;0;2;4;0.21052631578947367;1;1;0.14285714285714285
org.apache.commons.lang3.ArrayUtilsInsertTest.testInsertBytes();15,2,3,16;4;0;0;2;3;0.15789473684210525;1;1;0.14285714285714285
